symbol,price,trailing_eps_ttm,base_q_eps,next_q_eps_est,next_year_eps_est,avg_payout_ratio,est_dividend,est_yield_%
1712.TW,47.0,2.62,0.655,0.689,2.76,0.855,2.36,5.02
2820.TW,16.85,1.26,0.315,0.35,1.4,0.6,0.84,4.99
1104.TW,28.9,2.33,0.583,0.6,2.4,0.598,1.44,4.97
2393.TW,58.4,5.14,1.285,1.112,4.45,0.652,2.9,4.97
2535.TW,72.3,6.06,1.515,1.458,5.83,0.615,3.59,4.96
1817.TW,38.7,4.02,1.005,0.918,3.67,0.522,1.92,4.96
3040.TW,39.4,0.52,0.13,0.108,0.43,4.5,1.95,4.94
3046.TW,47.8,3.91,0.978,1.111,4.44,0.529,2.35,4.91
2303.TW,62.1,3.31,0.828,0.899,3.59,0.849,3.05,4.91
2387.TW,42.2,5.11,1.278,0.852,3.41,0.607,2.07,4.9
2211.TW,102.5,8.46,2.115,2.453,9.81,0.51,5.01,4.89
1217.TW,10.3,0.27,0.068,0.104,0.42,1.204,0.5,4.87
2903.TW,22.3,1.66,0.415,0.372,1.49,0.729,1.08,4.86
1416.TW,11.65,0.78,0.195,0.215,0.86,0.656,0.56,4.85
1474.TW,10.2,0.33,0.083,0.096,0.38,1.288,0.49,4.83
1227.TW,29.5,1.46,0.365,0.312,1.25,1.142,1.43,4.83
2483.TW,22.45,0.56,0.14,0.229,0.92,1.179,1.08,4.81
2488.TW,46.75,4.49,1.123,1.119,4.47,0.499,2.23,4.77
2006.TW,81.0,6.44,1.61,1.525,6.1,0.632,3.85,4.76
2013.TW,42.3,3.18,0.795,0.764,3.06,0.654,2.0,4.73
2511.TW,8.15,0.29,0.072,0.068,0.27,1.421,0.38,4.72
2347.TW,70.1,5.18,1.295,1.14,4.56,0.726,3.31,4.72
1477.TW,309.5,14.99,3.748,3.858,15.43,0.941,14.52,4.69
1707.TW,120.5,8.19,2.047,1.74,6.96,0.811,5.64,4.68
2851.TW,27.35,2.51,0.627,0.51,2.04,0.628,1.28,4.68
2852.TW,26.95,2.85,0.713,0.81,3.24,0.387,1.25,4.65
2613.TW,26.1,0.84,0.21,0.283,1.13,1.071,1.21,4.65
2538.TW,10.45,0.88,0.22,0.186,0.74,0.652,0.48,4.64
2727.TW,219.0,14.8,3.7,4.003,16.01,0.631,10.1,4.61
1726.TW,76.1,5.72,1.43,1.425,5.7,0.615,3.51,4.61
2753.TW,182.5,11.73,2.933,3.114,12.46,0.673,8.39,4.6
2520.TW,31.05,3.48,0.87,0.574,2.3,0.62,1.42,4.59
2324.TW,30.4,1.5,0.375,0.354,1.41,0.987,1.4,4.59
2547.TW,11.05,2.96,0.74,0.909,3.64,0.139,0.5,4.56
2615.TW,78.7,12.17,3.042,2.548,10.19,0.351,3.58,4.55
3010.TW,123.5,8.22,2.055,2.093,8.37,0.67,5.61,4.54
1737.TW,31.55,1.66,0.415,0.428,1.71,0.825,1.41,4.48
1339.TW,42.3,2.06,0.515,0.375,1.5,1.262,1.89,4.47
